name,position,element,fixture,oppoine,opponentposition,was_home,difficulty,minutes,starts,goals_scored,assists,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,red_cards,bonus,bps,total_points,value,xP,team_a_score,team_h_score,playerteamposition,penalties_missed,yellow_cards,clean_sheets,goals_conceded,saves,penalties_saved,team
João Palhinha Gonçalves,MID,280,299,17,PROMOTED,False,5,90,1,1.0,0.0,6.6,41.2,2.3,22,0.22,0.02,0.24,1.87,0,1,32,8,50,3.0,3,3,10,,0.0,0.0,3.0,,,Unknown
Bryan Gil Salvatierra,MID,494,300,12,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,49,1.0,1,2,8,,0.0,0.0,0.0,,,Unknown
Jimi Tauriainen,MID,830,294,6,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,2,2,12,,0.0,0.0,0.0,,,Unknown
Billy Gilmour,MID,133,295,11,5,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,48,-0.5,1,2,6,,0.0,0.0,0.0,,,Unknown
Mikkel Damsgaard,MID,98,293,14,3,True,3,19,0,0.0,0.0,0.6,2.8,0.9,2,0.0,0.02,0.02,0.24,0,0,3,1,48,0.5,1,1,9,,0.0,0.0,1.0,,,Unknown
Son Heung-min,MID,516,300,12,PROMOTED,True,5,87,1,1.0,0.0,12.0,39.8,19.8,60,0.91,0.18,1.09,0.36,0,3,25,10,101,10.0,1,2,8,,0.0,0.0,1.0,,,Unknown
Manuel Benson Hedilazio,MID,159,294,7,12,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,52,-0.3,2,2,PROMOTED,,0.0,0.0,0.0,,,Unknown
Pablo Fornals Malla,MID,534,297,15,4,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,3,4,14,,0.0,0.0,0.0,,,Unknown
Bobby Clark,MID,627,295,5,6,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.8,1,2,5,,0.0,0.0,0.0,,,Unknown
Flynn Downes,MID,531,297,15,4,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,3,4,14,,0.0,0.0,0.0,,,Unknown
Joe Willock,MID,432,297,19,14,True,4,56,1,0.0,0.0,4.5,9.6,11.4,24,0.15,0.03,0.18,1.11,0,0,4,1,53,2.0,3,4,4,,0.0,0.0,3.0,,,Unknown
Kobbie Mainoo,MID,388,293,4,9,False,4,79,1,0.0,0.0,1.5,10.6,4.5,0,0.0,0.02,0.02,2.16,0,0,11,3,44,2.0,1,1,3,,0.0,1.0,0.0,,,Unknown
Tommy Doyle,MID,351,291,2,7,False,4,70,1,0.0,0.0,2.4,9.4,13.3,1,0.02,0.02,0.04,0.93,0,0,11,2,44,1.5,0,2,13,,0.0,0.0,2.0,,,Unknown
Elliot Thorpe,MID,337,300,18,8,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,2,PROMOTED,,0.0,0.0,0.0,,,Unknown
Shea Charles,MID,348,296,1,2,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,0,1,,0.0,0.0,0.0,,,Unknown
Jordan Ayew,MID,221,298,16,16,False,5,65,1,0.0,0.0,0.6,0.4,2.3,3,0.04,0.01,0.05,0.77,0,0,8,2,54,2.7,1,1,11,,0.0,0.0,1.0,,,Unknown
Dominik Szoboszlai,MID,309,295,5,6,True,3,90,1,0.0,0.0,6.3,5.8,43.7,13,0.12,0.14,0.26,0.44,0,0,11,2,71,2.2,1,2,5,,0.0,0.0,1.0,,,Unknown
Ryan Oné,MID,730,299,10,10,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,-0.5,3,3,PROMOTED,,0.0,0.0,0.0,,,Unknown
Kristian Sekularac,MID,796,299,17,PROMOTED,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.5,3,3,10,,0.0,0.0,0.0,,,Unknown
Jordan Clark,MID,320,300,18,8,False,4,27,0,0.0,0.0,1.5,5.0,0.5,9,0.03,0.0,0.03,1.21,0,0,-1,1,48,1.2,1,2,PROMOTED,,0.0,0.0,1.0,,,Unknown
Mason Mount,MID,209,293,4,9,False,4,10,0,1.0,0.0,5.2,34.2,0.3,17,0.09,0.0,0.09,0.43,0,0,18,6,68,2.0,1,1,3,,0.0,0.0,1.0,,,Unknown
David Brooks,MID,64,292,9,17,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,1,2,15,,0.0,0.0,0.0,,,Unknown
