name,position,element,fixture,oppoine,opponentposition,was_home,difficulty,minutes,starts,goals_scored,assists,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,red_cards,bonus,bps,total_points,value,xP,team_a_score,team_h_score,playerteamposition,penalties_missed,yellow_cards,clean_sheets,goals_conceded,saves,penalties_saved,team
Ivan Toney,FWD,117,8,18,8,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,80,0.0,2,2,9,0.0,,,,,,Unknown
Eddie Nketiah,FWD,13,2,16,16,True,5,72,1,1.0,0.0,7.2,30.2,5.9,36,0.21,0.01,0.22,0.3,0,2,26,8,55,2.4,1,2,2,0.0,,,,,,Unknown
Kieffer Moore,FWD,76,3,19,14,True,4,23,0,0.0,0.0,0.9,0.0,3.3,7,0.04,0.05,0.09,0.23,0,0,2,1,50,1.4,1,1,15,0.0,,,,,,Unknown
Rasmus Højlund,FWD,617,10,20,13,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,70,0.0,0,1,3,0.0,,,,,,Unknown
Luke Plange,FWD,237,7,17,PROMOTED,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,0,11,0.0,,,,,,Unknown
Andi Zeqiri,FWD,155,4,12,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.5,1,4,6,0.0,,,,,,Unknown
Fábio Silva,FWD,552,10,14,3,False,3,13,0,0.0,0.0,7.9,11.2,10.8,57,0.33,0.01,0.34,0.29,0,0,6,1,55,1.4,0,1,13,0.0,,,,,,Unknown
William Osula,FWD,490,7,8,11,True,4,90,1,0.0,0.0,0.0,0.0,0.0,0,0.24,0.01,0.25,2.01,0,0,-5,1,45,0.5,1,0,PROMOTED,0.0,,,,,,Unknown
Ollie Watkins,FWD,60,6,15,4,False,3,90,1,0.0,1.0,8.5,32.2,23.4,29,0.23,0.1,0.33,3.44,0,0,18,5,80,2.1,1,5,7,0.0,,,,,,Unknown
Gianluca Scamacca,FWD,541,3,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,1,1,14,0.0,,,,,,Unknown
Danny Ings,FWD,535,3,3,15,False,5,12,0,0.0,0.0,1.0,3.0,0.0,7,0.12,0.0,0.12,0.94,0,0,1,1,60,2.1,1,1,14,0.0,,,,,,Unknown
Daniel Jebbison,FWD,483,7,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.7,1,0,PROMOTED,0.0,,,,,,Unknown
Jean-Philippe Mateta,FWD,232,7,17,PROMOTED,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,1.9,1,0,11,0.0,,,,,,Unknown
Michael Obafemi,FWD,174,1,13,1,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,3,0,PROMOTED,0.0,,,,,,Unknown
Elijah Adebayo,FWD,314,4,5,6,False,3,63,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.09,0.09,1.55,0,0,5,2,50,0.9,1,4,PROMOTED,0.0,,,,,,Unknown
Dominic Calvert-Lewin,FWD,246,5,10,10,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,60,1.6,1,0,17,0.0,,,,,,Unknown
Halil Dervişoğlu,FWD,100,8,18,8,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,2,2,9,0.0,,,,,,Unknown
João Pedro Junqueira de Jesus,FWD,135,4,12,PROMOTED,True,5,87,1,1.0,0.0,0.0,0.0,0.0,0,1.3,0.03,1.33,1.2,0,1,26,7,55,2.4,1,4,6,0.0,,,,,,Unknown
Iliman Ndiaye,FWD,486,7,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,0.0,1,0,PROMOTED,0.0,,,,,,Unknown
Neal Maupay,FWD,258,5,10,10,True,4,71,1,0.0,0.0,9.6,9.4,11.7,75,1.35,0.0,1.35,0.32,0,0,-4,2,50,1.4,1,0,17,0.0,,,,,,Unknown
Divin Mubama,FWD,538,3,3,15,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.0,1,1,14,0.0,,,,,,Unknown
Yoane Wissa,FWD,119,8,18,8,True,4,71,1,1.0,0.0,11.6,49.8,21.3,45,0.24,0.05,0.29,1.02,0,3,33,9,60,2.1,2,2,9,0.0,,,,,,Unknown
Aleksandar Mitrović,FWD,278,5,9,17,False,5,32,0,0.0,0.0,3.3,6.4,0.3,26,0.16,0.02,0.18,0.6,0,0,6,1,75,2.4,1,0,10,0.0,,,,,,Unknown
Chiedozie Ogbene,FWD,328,4,5,6,False,3,14,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.76,0,0,3,1,50,0.9,1,4,PROMOTED,0.0,,,,,,Unknown
Wout Weghorst,FWD,183,1,13,1,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,0.0,3,0,PROMOTED,0.0,,,,,,Unknown
Jhon Durán,FWD,44,6,15,4,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,1,5,7,0.0,,,,,,Unknown
Michail Antonio,FWD,523,3,3,15,False,5,77,1,0.0,0.0,1.1,8.6,0.8,2,0.0,0.01,0.01,0.43,0,0,5,1,60,2.1,1,1,14,0.0,,,,,,Unknown
Shola Shoretire,FWD,399,10,20,13,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.5,0,1,3,0.0,,,,,,Unknown
Aaron Connolly,FWD,127,4,12,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,4,6,0.0,,,,,,Unknown
Jay Rodriguez,FWD,177,1,13,1,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,0.4,3,0,PROMOTED,0.0,,,,,,Unknown
Joe Taylor,FWD,336,4,5,6,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,4,PROMOTED,0.0,,,,,,Unknown
Dane Scarlett,FWD,640,8,4,9,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.0,2,2,8,0.0,,,,,,Unknown
John McAtee,FWD,324,4,5,6,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,4,PROMOTED,0.0,,,,,,Unknown
Wesley Moraes Ferreira da Silva,FWD,61,6,15,4,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,1,5,7,0.0,,,,,,Unknown
Evan Ferguson,FWD,132,4,12,PROMOTED,True,5,12,0,1.0,0.0,8.0,32.2,10.6,37,0.89,0.03,0.92,1.04,0,0,25,5,60,2.6,1,4,6,0.0,,,,,,Unknown
Emmanuel Dennis,FWD,443,2,1,2,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.9,1,2,16,0.0,,,,,,Unknown
Admiral Muskwe,FWD,327,4,5,6,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,4,PROMOTED,0.0,,,,,,Unknown
Alejo Véliz,FWD,641,8,4,9,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,1.9,2,2,8,0.0,,,,,,Unknown
Cody Gakpo,FWD,297,9,7,12,False,4,65,1,0.0,0.0,2.1,8.0,10.9,2,0.0,0.05,0.05,1.04,0,0,5,2,75,2.9,1,1,5,0.0,,,,,,Unknown
Nicolas Jackson,FWD,211,9,11,5,True,3,90,1,0.0,0.0,0.0,0.0,0.0,0,0.53,0.01,0.54,1.28,0,0,-6,1,70,1.8,1,1,12,0.0,,,,,,Unknown
Aribim Pepple,FWD,331,4,5,6,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,4,PROMOTED,0.0,,,,,,Unknown
Ellis Simms,FWD,264,5,10,10,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,0,17,0.0,,,,,,Unknown
Taiwo Awoniyi,FWD,437,2,1,2,False,3,19,0,1.0,0.0,6.8,33.2,0.1,35,0.57,0.0,0.57,0.46,0,2,26,7,65,0.4,1,2,16,0.0,,,,,,Unknown
Thomas Cannon,FWD,649,5,10,10,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.0,1,0,17,0.0,,,,,,Unknown
Callum Wilson,FWD,433,6,2,7,True,4,22,0,1.0,0.0,10.6,42.0,0.3,64,0.91,0.0,0.91,0.4,0,0,21,5,80,3.1,1,5,4,0.0,,,,,,Unknown
Zeki Amdouni,FWD,594,1,13,1,True,3,60,1,0.0,0.0,0.0,0.0,0.0,0,0.03,0.0,0.03,0.96,0,0,8,2,55,0.4,3,0,PROMOTED,0.0,,,,,,Unknown
Keinan Davis,FWD,39,6,15,4,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.9,1,5,7,0.0,,,,,,Unknown
Sam Surridge,FWD,464,2,1,2,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,2,16,0.0,,,,,,Unknown
Gabriel Fernando de Jesus,FWD,8,2,16,16,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,80,0.0,1,2,2,0.0,,,,,,Unknown
Mason Burstow,FWD,623,9,11,5,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,1,12,0.0,,,,,,Unknown
Julián Álvarez,FWD,343,1,6,PROMOTED,False,5,90,1,0.0,1.0,14.3,30.6,84.8,28,0.39,0.37,0.76,0.3,0,0,25,5,65,3.7,3,0,1,0.0,,,,,,Unknown
Rodrigo Muniz Carvalho,FWD,279,5,9,17,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.0,1,0,10,0.0,,,,,,Unknown
Youssef Ramalho Chermiti,FWD,645,5,10,10,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,1.4,1,0,17,0.0,,,,,,Unknown
Alexander Isak,FWD,415,6,2,7,True,4,67,1,2.0,0.0,13.2,68.4,2.7,61,0.76,0.02,0.78,1.5,0,3,51,13,75,3.0,1,5,4,0.0,,,,,,Unknown
John-Kymani Gordon,FWD,658,7,17,PROMOTED,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.5,1,0,11,0.0,,,,,,Unknown
Pierre-Emerick Aubameyang,FWD,188,9,11,5,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,65,0.0,1,1,12,0.0,,,,,,Unknown
Antwoine Hackford,FWD,656,7,8,11,True,4,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,3,1,45,0.5,1,0,PROMOTED,0.0,,,,,,Unknown
Jay Stansfield,FWD,651,5,9,17,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.0,1,0,10,0.0,,,,,,Unknown
Erling Haaland,FWD,355,1,6,PROMOTED,False,5,79,1,2.0,0.0,13.9,67.6,23.7,48,0.6,0.05,0.65,0.23,0,3,56,13,140,5.5,3,0,1,0.0,,,,,,Unknown
Anthony Martial,FWD,390,10,20,13,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,65,0.7,0,1,3,0.0,,,,,,Unknown
Danny Welbeck,FWD,154,4,12,PROMOTED,True,5,77,1,0.0,0.0,3.9,3.8,1.9,33,0.31,0.1,0.41,0.41,0,0,5,2,60,2.6,1,4,6,0.0,,,,,,Unknown
Carlos Vinícius Alves Morais,FWD,287,5,9,17,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,1.4,1,0,10,0.0,,,,,,Unknown
David Datro Fofana,FWD,200,9,11,5,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,1,1,12,0.0,,,,,,Unknown
Louie Marsh,FWD,654,7,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,0,PROMOTED,0.0,,,,,,Unknown
Oliver McBurnie,FWD,485,7,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,0.7,1,0,PROMOTED,0.0,,,,,,Unknown
Hwang Ui-jo,FWD,466,2,1,2,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,2,16,0.0,,,,,,Unknown
Raúl Jiménez,FWD,558,5,9,17,False,5,57,1,0.0,0.0,0.6,0.0,1.8,6,0.07,0.02,0.09,2.13,0,0,-3,1,55,1.9,1,0,10,0.0,,,,,,Unknown
Rhian Brewster,FWD,477,7,8,11,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.2,1,0,PROMOTED,0.0,,,,,,Unknown
Matheus Santos Carneiro Da Cunha,FWD,590,10,14,3,False,3,76,1,0.0,0.0,4.2,6.2,11.7,24,0.49,0.03,0.52,1.18,0,0,3,2,55,1.0,0,1,13,0.0,,,,,,Unknown
Cameron Archer,FWD,33,6,15,4,False,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,1,5,7,0.0,,,,,,Unknown
Carlton Morris,FWD,326,4,5,6,False,3,90,1,1.0,0.0,0.0,0.0,0.0,0,1.05,0.09,1.14,4.1,0,2,28,8,55,1.4,1,4,PROMOTED,0.0,,,,,,Unknown
Cauley Woodrow,FWD,340,4,5,6,False,3,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.37,0.37,1.22,0,0,7,1,45,0.5,1,4,PROMOTED,0.0,,,,,,Unknown
Harry Kane,FWD,500,8,4,9,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,125,3.6,2,2,8,0.0,,,,,,Unknown
Antoine Semenyo,FWD,82,3,19,14,True,4,15,0,0.0,1.0,0.5,0.0,2.3,3,0.07,0.01,0.08,0.19,0,0,11,4,45,0.8,1,1,15,0.0,,,,,,Unknown
Darwin Núñez Ribeiro,FWD,293,9,7,12,False,4,24,0,0.0,0.0,1.2,2.2,1.3,8,0.04,0.02,0.06,0.24,0,0,3,1,75,2.9,1,1,5,0.0,,,,,,Unknown
Folarin Balogun,FWD,1,2,16,16,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,1.5,1,2,2,0.0,,,,,,Unknown
Romelu Lukaku Bolingoli,FWD,207,9,11,5,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,70,1.8,1,1,12,0.0,,,,,,Unknown
Deniz Undav,FWD,149,4,12,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,0.0,1,4,6,0.0,,,,,,Unknown
Christopher Nkunku,FWD,212,9,11,5,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,75,0.0,1,1,12,0.0,,,,,,Unknown
Bénie Traoré,FWD,593,7,8,11,True,4,86,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.08,0.08,2.01,0,0,1,2,55,1.4,1,0,PROMOTED,0.0,,,,,,Unknown
Odsonne Edouard,FWD,225,7,17,PROMOTED,False,5,90,1,1.0,0.0,16.0,44.4,22.2,93,1.12,0.14,1.26,0.49,0,1,27,7,55,2.4,1,0,11,0.0,,,,,,Unknown
Lyle Foster,FWD,168,1,13,1,True,3,90,1,0.0,0.0,0.0,0.0,0.0,0,0.14,0.04,0.18,2.09,0,0,5,2,50,-0.1,3,0,PROMOTED,0.0,,,,,,Unknown
Sasa Kalajdzic,FWD,562,10,14,3,False,3,2,0,0.0,0.0,1.6,4.2,10.0,2,0.0,0.0,0.0,0.0,0,0,4,1,50,0.9,0,1,13,0.0,,,,,,Unknown
Armando Broja,FWD,193,9,11,5,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,1,1,12,0.0,,,,,,Unknown
Dominic Solanke,FWD,85,3,19,14,True,4,90,1,1.0,0.0,13.6,40.6,23.0,72,0.98,0.14,1.12,1.07,0,1,22,7,65,2.2,1,1,15,0.0,,,,,,Unknown
Chris Wood,FWD,468,2,1,2,False,3,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08,0,0,3,1,50,0.9,1,2,16,0.0,,,,,,Unknown
Jacob Brown,FWD,631,4,5,6,False,3,26,0,0.0,1.0,0.0,0.0,0.0,0,0.12,0.0,0.12,2.55,0,0,10,4,50,0.9,1,4,PROMOTED,0.0,,,,,,Unknown
Ivan Toney,FWD,117,13,10,10,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,80,0.0,3,0,9,0.0,,,,,,Unknown
Eddie Nketiah,FWD,13,12,8,11,False,4,78,1,0.0,1.0,4.9,0.0,21.8,28,0.81,0.02,0.83,0.47,0,0,6,5,55,7.0,1,0,2,0.0,,,,,,Unknown
Kieffer Moore,FWD,76,14,11,5,False,3,27,0,0.0,0.0,0.8,0.0,1.3,8,0.23,0.0,0.23,0.2,0,0,-1,1,50,0.5,1,3,15,0.0,,,,,,Unknown
Rasmus Højlund,FWD,617,18,18,8,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,70,0.0,0,2,3,0.0,,,,,,Unknown
Luke Plange,FWD,237,12,1,2,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,0,11,0.0,,,,,,Unknown
Andi Zeqiri,FWD,155,20,20,13,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,4,1,6,0.0,,,,,,Unknown
Fábio Silva,FWD,552,20,5,6,True,3,54,1,0.0,0.0,4.5,9.4,14.1,21,0.45,0.0,0.45,1.95,0,0,3,1,55,1.0,4,1,13,0.0,,,,,,Unknown
William Osula,FWD,490,17,16,16,False,5,73,1,0.0,0.0,1.1,0.0,1.1,13,0.05,0.05,0.1,1.25,0,0,3,2,45,1.0,1,2,PROMOTED,0.0,,,,,,Unknown
Ollie Watkins,FWD,60,11,9,17,True,5,73,1,0.0,1.0,5.2,7.2,32.4,12,0.15,0.05,0.2,0.64,0,0,11,5,80,5.0,0,4,7,0.0,,,,,,Unknown
Gianluca Scamacca,FWD,541,19,7,12,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,1,3,14,0.0,,,,,,Unknown
Danny Ings,FWD,535,19,7,12,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.5,1,3,14,0.0,,,,,,Unknown
Daniel Jebbison,FWD,483,17,16,16,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,-0.2,1,2,PROMOTED,0.0,,,,,,Unknown
Jean-Philippe Mateta,FWD,232,12,1,2,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,-0.5,1,0,11,0.0,,,,,,Unknown
Dominic Calvert-Lewin,FWD,246,11,2,7,False,4,37,1,0.0,0.0,0.3,0.0,1.6,4,0.0,0.0,0.0,2.12,0,0,1,1,59,0.5,0,4,17,0.0,,,,,,Unknown
Halil Dervişoğlu,FWD,100,13,10,10,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,3,0,9,0.0,,,,,,Unknown
João Pedro Junqueira de Jesus,FWD,135,20,20,13,False,4,33,0,0.0,0.0,2.4,8.2,1.1,15,0.16,0.01,0.17,1.15,0,0,-1,0,55,3.5,4,1,6,0.0,,,,,,Unknown
Iliman Ndiaye,FWD,486,17,16,16,False,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,0.0,1,2,PROMOTED,0.0,,,,,,Unknown
Neal Maupay,FWD,258,11,2,7,False,4,39,0,0.0,0.0,2.4,3.0,1.6,19,0.15,0.02,0.17,0.98,0,0,-1,1,50,1.5,0,4,17,0.0,,,,,,Unknown
Divin Mubama,FWD,538,19,7,12,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,3,14,0.0,,,,,,Unknown
Yoane Wissa,FWD,119,13,10,10,False,4,78,1,1.0,1.0,10.5,34.4,2.5,68,1.43,0.02,1.45,0.36,0,2,36,11,60,10.0,3,0,9,0.0,,,,,,Unknown
Aleksandar Mitrović,FWD,278,13,4,9,True,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,75,0.0,3,0,10,0.0,,,,,,Unknown
Jhon Durán,FWD,44,11,9,17,True,5,16,0,1.0,0.0,6.9,38.2,11.7,19,0.55,0.0,0.55,0.03,0,2,31,7,50,0.9,0,4,7,0.0,,,,,,Unknown
Michail Antonio,FWD,523,19,7,12,True,4,75,1,1.0,0.0,5.7,31.4,3.2,22,0.22,0.0,0.22,2.26,0,3,32,9,60,5.0,1,3,14,0.0,,,,,,Unknown
Shola Shoretire,FWD,399,18,18,8,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.5,0,2,3,0.0,,,,,,Unknown
Aaron Connolly,FWD,127,20,20,13,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,4,1,6,0.0,,,,,,Unknown
Dane Scarlett,FWD,640,18,14,3,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,-0.5,0,2,8,0.0,,,,,,Unknown
Wesley Moraes Ferreira da Silva,FWD,61,11,9,17,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,0,4,7,0.0,,,,,,Unknown
Evan Ferguson,FWD,132,20,20,13,False,4,23,0,0.0,0.0,0.8,2.0,1.5,4,0.09,0.01,0.1,0.29,0,0,-1,1,60,3.0,4,1,6,0.0,,,,,,Unknown
Emmanuel Dennis,FWD,443,17,17,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.5,1,2,16,0.0,,,,,,Unknown
Alejo Véliz,FWD,641,18,14,3,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,55,-0.5,0,2,8,0.0,,,,,,Unknown
Cody Gakpo,FWD,297,14,3,15,True,5,62,1,0.0,0.0,2.8,5.6,11.8,11,0.24,0.04,0.28,0.19,0,0,10,2,75,2.5,1,3,5,0.0,,,,,,Unknown
Nicolas Jackson,FWD,211,19,19,14,False,4,90,1,0.0,0.0,4.0,6.8,14.0,19,0.79,0.04,0.83,1.8,0,0,6,1,70,1.0,1,3,12,0.0,,,,,,Unknown
Ellis Simms,FWD,264,11,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,4,17,0.0,,,,,,Unknown
Taiwo Awoniyi,FWD,437,17,17,PROMOTED,True,5,83,1,1.0,0.0,8.1,38.6,21.8,21,0.31,0.02,0.33,0.51,0,1,29,7,65,7.5,1,2,16,0.0,,,,,,Unknown
Thomas Cannon,FWD,649,11,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,4,17,0.0,,,,,,Unknown
Callum Wilson,FWD,433,16,13,1,False,3,24,0,0.0,0.0,1.4,3.0,11.3,0,0.0,0.0,0.0,0.28,0,0,3,1,80,2.5,0,1,4,0.0,,,,,,Unknown
Keinan Davis,FWD,39,11,9,17,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,0,4,7,0.0,,,,,,Unknown
Sam Surridge,FWD,464,17,17,PROMOTED,True,5,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,1,2,16,0.0,,,,,,Unknown
Gabriel Fernando de Jesus,FWD,8,12,8,11,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,79,0.0,1,0,2,0.0,,,,,,Unknown
Mason Burstow,FWD,623,19,19,14,False,4,7,0,0.0,0.0,0.1,0.4,0.6,0,0.0,0.0,0.0,0.9,0,0,3,1,45,0.5,1,3,12,0.0,,,,,,Unknown
Julián Álvarez,FWD,343,16,15,4,True,3,90,1,1.0,0.0,8.7,38.4,27.5,21,0.11,0.02,0.13,0.29,0,2,33,7,65,6.5,0,1,1,0.0,,,,,,Unknown
Rodrigo Muniz Carvalho,FWD,279,13,4,9,True,4,4,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.27,0,0,3,1,45,0.5,3,0,10,0.0,,,,,,Unknown
Youssef Ramalho Chermiti,FWD,645,11,2,7,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,0,4,17,0.0,,,,,,Unknown
Alexander Isak,FWD,415,16,13,1,False,3,65,1,0.0,0.0,0.4,0.6,1.8,2,0.0,0.02,0.02,0.81,0,0,7,2,76,7.0,0,1,4,0.0,,,,,,Unknown
John-Kymani Gordon,FWD,658,12,1,2,True,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,45,-0.5,1,0,11,0.0,,,,,,Unknown
Pierre-Emerick Aubameyang,FWD,188,19,19,14,False,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,65,0.0,1,3,12,0.0,,,,,,Unknown
